series_id,Name,Category,Subcategory,Commodity,Region,Outfile,AdjFactor
PET.MKJSBP21.M,"Midwest (PADD 2) Kerosene-Type Jet Fuel Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,JTAout,PADD2,aPSM_Inventories.csv,1
PET.MKJSBP31.M,"Gulf Coast (PADD 3) Kerosene-Type Jet Fuel Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,JTAout,PADD3,aPSM_Inventories.csv,1
PET.MKJSBP41.M,"Rocky Mountain (PADD 4) Kerosene-Type Jet Fuel Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,JTAout,PADD4,aPSM_Inventories.csv,1
PET.MKJSBP51.M,"West Coast (PADD 5) Kerosene-Type Jet Fuel Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,JTAout,PADD5,aPSM_Inventories.csv,1
PET.MKOSB_R10_1.M,"East Coast (PADD 1) Kerosene and Light Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,KR3,PADD1,aPSM_Inventories.csv,1
PET.MKOSB_R20_1.M,"Midwest (PADD 2) Kerosene and Light Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,KR3,PADD2,aPSM_Inventories.csv,1
PET.MKOSB_R30_1.M,"Gulf Coast (PADD 3) Kerosene and Light Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,KR3,PADD3,aPSM_Inventories.csv,1
PET.MKOSB_R50_1.M,"West Coast (PADD 5) Kerosene and Light Oils Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,KR7,PADD5,aPSM_Inventories.csv,1
PET.MPRSBP11.M,"East Coast (PADD 1) Propane and Propylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LPGout,PADD1,aPSM_Inventories.csv,1
PET.MPRSBP21.M,"Midwest (PADD 2) Propane and Propylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LPGout,PADD2,aPSM_Inventories.csv,1
PET.MPRSBP31.M,"Gulf Coast (PADD 3) Propane and Propylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LPGout,PADD3,aPSM_Inventories.csv,1
PET.MPRSBP41.M,"Rocky Mountain (PADD 4) Propane and Propylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LPGout,PADD4,aPSM_Inventories.csv,1
PET.MPRSBP51.M,"West Coast (PADD 5) Propane and Propylene Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LPGout,PADD5,aPSM_Inventories.csv,1
PET.MLUSBP11.M,"East Coast (PADD 1) Lubricants Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LUBout,PADD1,aPSM_Inventories.csv,1
PET.MLUSBP21.M,"Midwest (PADD 2) Lubricants Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LUBout,PADD2,aPSM_Inventories.csv,1
PET.MLUSBP31.M,"Gulf Coast (PADD 3) Lubricants Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LUBout,PADD3,aPSM_Inventories.csv,1
PET.MLUSBP51.M,"West Coast (PADD 5) Lubricants Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,LUBout,PADD5,aPSM_Inventories.csv,1
PET.M_EPOUN_SKB_R40_MBBL.M,"Rocky Mountain (PADD 4) Naphthas and Lighter Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,MN3,PADD4,aPSM_Inventories.csv,1
PET.MNLSB_R10_1.M,"East Coast (PADD 1) Naphthas and Lighter Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,MN3,PADD1,aPSM_Inventories.csv,1
PET.MNLSB_R20_1.M,"Midwest (PADD 2) Naphthas and Lighter Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,MN3,PADD2,aPSM_Inventories.csv,1
PET.MNLSB_R30_1.M,"Gulf Coast (PADD 3) Naphthas and Lighter Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,MN3,PADD3,aPSM_Inventories.csv,1
PET.MNLSB_R50_1.M,"West Coast (PADD 5) Naphthas and Lighter Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,MN3,PADD5,aPSM_Inventories.csv,1
PET.MDGSBP11.M,"East Coast (PADD 1) Distillate Fuel Oil, Greater Than 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N2Hout,PADD1,aPSM_Inventories.csv,1
PET.MDGSBP21.M,"Midwest (PADD 2) Distillate Fuel Oil, Greater Than 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N2Hout,PADD2,aPSM_Inventories.csv,1
PET.MDGSBP31.M,"Gulf Coast (PADD 3) Distillate Fuel Oil, Greater Than 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N2Hout,PADD3,aPSM_Inventories.csv,1
PET.MDGSBP41.M,"Rocky Mountain (PADD 4) Distillate Fuel Oil, Greater Than 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N2Hout,PADD4,aPSM_Inventories.csv,1
PET.MDGSBP51.M,"West Coast (PADD 5) Distillate Fuel Oil, Greater Than 500 ppm Sulfur Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N2Hout,PADD5,aPSM_Inventories.csv,1
PET.MRESBP11.M,"East Coast (PADD 1) Residual Fuel Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N6Iout,PADD1,aPSM_Inventories.csv,1
PET.MRESBP21.M,"Midwest (PADD 2) Residual Fuel Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N6Iout,PADD2,aPSM_Inventories.csv,1
PET.MRESBP31.M,"Gulf Coast (PADD 3) Residual Fuel Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N6Iout,PADD3,aPSM_Inventories.csv,1
PET.MRESBP41.M,"Rocky Mountain (PADD 4) Residual Fuel Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N6Iout,PADD4,aPSM_Inventories.csv,1
PET.MRESBP51.M,"West Coast (PADD 5) Residual Fuel Oil Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,N6Iout,PADD5,aPSM_Inventories.csv,1
PET.MPPSBP11.M,"East Coast (PADD 1) Pentanes Plus Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,NAT,PADD1,aPSM_Inventories.csv,1
PET.MPPSBP21.M,"Midwest (PADD 2) Pentanes Plus Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,NAT,PADD2,aPSM_Inventories.csv,1
PET.MPPSBP31.M,"Gulf Coast (PADD 3) Pentanes Plus Stocks at Bulk Terminals, Monthly",Inventory,BulkTerminal,NAT,PADD3,aPSM_Inventories.csv,1
